"rank" "feature_density_pos" "weighted_feature_density_pos" "feature_density_zero" 
0.03290 0.9145 0.9151 0.8354
0.03300 0.9164 0.9170 0.8168
0.03310 0.9206 0.9200 0.8174
0.03320 0.9217 0.9223 0.8144
0.03330 0.9236 0.9236 0.8168
0.03339 0.9289 0.9295 0.8330
0.03349 0.8798 0.8804 0.7904
0.03359 0.8294 0.8270 0.7640
0.03369 0.8942 0.8936 0.7826
0.03379 0.9055 0.9049 0.7976
0.03389 0.9176 0.9158 0.8126
0.03399 0.9181 0.9193 0.8366
0.03409 0.9206 0.9212 0.8378
0.03419 0.9247 0.9247 0.8444
0.03429 0.9056 0.9026 0.8156
0.03439 0.9103 0.9073 0.8078
0.03449 0.9224 0.9194 0.8084
0.03459 0.9158 0.9152 0.8030
0.03469 0.9181 0.9187 0.8192
0.03479 0.9320 0.9302 0.8270
0.03489 0.9271 0.9289 0.8234
0.03498 0.9224 0.9236 0.8252
0.03508 0.9331 0.9331 0.8264
0.03518 0.9338 0.9344 0.8306
0.03528 0.9325 0.9331 0.8294
0.03538 0.9290 0.9278 0.8048
0.03548 0.9145 0.9127 0.8012
0.03558 0.9188 0.9176 0.8030
0.03568 0.9199 0.9193 0.8090
0.03578 0.9260 0.9266 0.8126
0.03588 0.9331 0.9331 0.8324
0.03598 0.8618 0.8624 0.7892
0.03608 0.8486 0.8474 0.7844
0.03618 0.8684 0.8684 0.7964
0.03628 0.8792 0.8786 0.8348
0.03638 0.9073 0.9097 0.8300
0.03648 0.9074 0.9080 0.8300
0.03658 0.9133 0.9139 0.8276
0.03667 0.9068 0.9086 0.8246
0.03677 0.9133 0.9145 0.8240
0.03687 0.9158 0.9158 0.8222
0.03697 0.9109 0.9127 0.8252
0.03707 0.9182 0.9188 0.8138
0.03717 0.9205 0.9193 0.8072
0.03727 0.9170 0.9182 0.8174
0.03737 0.9133 0.9163 0.8216
0.03747 0.9212 0.9206 0.8192
0.03757 0.9170 0.9182 0.8288
0.03767 0.9151 0.9169 0.8216
0.03777 0.9128 0.9146 0.8204
0.03787 0.9145 0.9151 0.8252
0.03797 0.9182 0.9188 0.8144
0.03807 0.9175 0.9199 0.8276
0.03817 0.9146 0.9164 0.8222
0.03826 0.9205 0.9217 0.8186
0.03836 0.9224 0.9248 0.8258
0.03846 0.9247 0.9259 0.8300
0.03856 0.9254 0.9284 0.8330
0.03866 0.9217 0.9193 0.8252
0.03876 0.9200 0.9182 0.8120
0.03886 0.9289 0.9271 0.8144
0.03896 0.9356 0.9332 0.8570
0.03906 0.9236 0.9230 0.8834
0.03916 0.9055 0.9067 0.8252
0.03926 0.9110 0.9128 0.8264
0.03936 0.9145 0.9151 0.8156
0.03946 0.9170 0.9188 0.8138
0.03956 0.9247 0.9235 0.8210
0.03966 0.9266 0.9278 0.8228
0.03976 0.9115 0.9121 0.8084
0.03985 0.8762 0.8738 0.7964
0.03995 0.9073 0.9061 0.8120
0.04005 0.9206 0.9170 0.8120
0.04015 0.9469 0.9433 0.8636
0.04025 0.9020 0.9014 0.8036
0.04035 0.9205 0.9211 0.8408
0.04045 0.9242 0.9248 0.8396
0.04055 0.8690 0.8690 0.8528
0.04065 0.8540 0.8546 0.7844
0.04075 0.9116 0.9128 0.8348
0.04085 0.9151 0.9151 0.8222
0.04095 0.9122 0.9134 0.8306
0.04105 0.9151 0.9169 0.8204
0.04115 0.9200 0.9212 0.8204
0.04125 0.9097 0.9097 0.8120
0.04135 0.9176 0.9206 0.8186
0.04145 0.9211 0.9217 0.8282
0.04154 0.9188 0.9212 0.8222
0.04164 0.9181 0.9181 0.8162
0.04174 0.9212 0.9224 0.8264
0.04184 0.9235 0.9229 0.8186
0.04194 0.9218 0.9242 0.8306
0.04204 0.9194 0.9218 0.8168
0.04214 0.9205 0.9211 0.8282
0.04224 0.9212 0.9218 0.8318
0.04234 0.9259 0.9271 0.8222
0.04244 0.9350 0.9368 0.8318
0.04254 0.9115 0.9103 0.8036
0.04264 0.9158 0.9140 0.7988
0.04274 0.9193 0.9187 0.8060
0.04284 0.9254 0.9236 0.8324
0.04294 0.9217 0.9223 0.8324
0.04304 0.9464 0.9446 0.9320
0.04313 0.9421 0.9427 0.8960
0.04323 0.9104 0.9092 0.8456
0.04333 0.9091 0.9073 0.8078
0.04343 0.9164 0.9128 0.8072
0.04353 0.9212 0.9194 0.8126
0.04363 0.9229 0.9205 0.8216
0.04373 0.9194 0.9158 0.8222
0.04383 0.9277 0.9247 0.8174
0.04393 0.9326 0.9314 0.8528
0.04403 0.9229 0.9205 0.8186
0.04413 0.9440 0.9422 0.8378
0.04423 0.8234 0.8198 0.7616
0.04433 0.9152 0.9158 0.7994
0.04443 0.9247 0.9229 0.8138
0.04453 0.9236 0.9236 0.8126
0.04463 0.9301 0.9301 0.8264
0.04472 0.9248 0.9272 0.8318
0.04482 0.9253 0.9259 0.8288
0.04492 0.9266 0.9266 0.8324
0.04502 0.9356 0.9362 0.8192
0.04512 0.9205 0.9211 0.8264
0.04522 0.9086 0.9104 0.8276
0.04532 0.9133 0.9151 0.8246
0.04542 0.9248 0.9248 0.8366
0.04552 0.9283 0.9283 0.8168
0.04562 0.9398 0.9410 0.8204
0.04572 0.9469 0.9451 0.9853
0.04582 0.9056 0.9038 0.8096
0.04592 0.9235 0.9247 0.8300
0.04602 0.7928 0.7940 0.7622
0.04612 0.8402 0.8414 0.7886
0.04622 0.8486 0.8486 0.7790
0.04632 0.8510 0.8546 0.7712
0.04641 0.8954 0.8948 0.8072
0.04651 0.9104 0.9122 0.8174
0.04661 0.9199 0.9205 0.8222
0.04671 0.9194 0.9212 0.8582
0.04681 0.9271 0.9277 0.8300
0.04691 0.9230 0.9242 0.8300
0.04701 0.9259 0.9271 0.8282
0.04711 0.9296 0.9314 0.8258
0.04721 0.9313 0.9313 0.8198
0.04731 0.8228 0.8222 0.8210
0.04741 0.9199 0.9199 0.8024
0.04751 0.9206 0.9194 0.8042
0.04761 0.9241 0.9247 0.8078
0.04771 0.9296 0.9296 0.8096
0.04781 0.9337 0.9313 0.8174
0.04791 0.9554 0.9548 0.9913
0.04800 0.9649 0.9631 1.0009
0.04810 0.9320 0.9314 0.8858
0.04820 0.9026 0.9008 0.8090
0.04830 0.9145 0.9115 0.8162
0.04840 0.9230 0.9188 0.8150
