"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.03588 0.8798 0.8798
0.03598 0.9296 0.9296
0.03608 0.8816 0.8816
0.03618 0.8804 0.8804
0.03628 0.8810 0.8810
0.03638 0.9307 0.9307
0.03648 0.8840 0.8840
0.03658 0.8852 0.8852
0.03667 0.8858 0.8858
0.03677 0.9295 0.9295
0.03687 0.8858 0.8858
0.03697 0.9313 0.9313
0.03707 0.9308 0.9308
0.03717 0.9325 0.9325
0.03727 0.9332 0.9332
0.03737 0.9361 0.9361
0.03747 0.9416 0.9416
0.03757 0.9350 0.9350
0.03767 0.9331 0.9331
0.03777 0.9350 0.9350
0.03787 0.9349 0.9349
0.03797 0.9356 0.9356
0.03807 0.9361 0.9361
0.03817 0.9350 0.9350
0.03826 0.9361 0.9361
0.03836 0.9380 0.9380
0.03846 0.9361 0.9361
0.03856 0.9374 0.9374
0.03866 0.9379 0.9379
0.03876 0.9374 0.9374
0.03886 0.9379 0.9379
0.03896 0.9380 0.9380
0.03906 0.9386 0.9386
0.03916 0.9397 0.9397
0.03926 0.9416 0.9416
0.03936 0.9391 0.9391
0.03946 0.9410 0.9410
0.03956 0.9403 0.9403
0.03966 0.9404 0.9404
0.03976 0.9415 0.9415
0.03985 0.9434 0.9434
0.03995 0.9421 0.9421
0.04005 0.9422 0.9422
0.04015 0.9439 0.9439
0.04025 0.9434 0.9434
0.04035 0.9445 0.9445
0.04045 0.9452 0.9452
0.04055 0.9224 0.9224
0.04065 0.9355 0.9355
0.04075 0.9182 0.9182
0.04085 0.9193 0.9193
0.04095 0.9266 0.9266
0.04105 0.9289 0.9289
0.04115 0.9344 0.9344
0.04125 0.9463 0.9463
0.04135 0.9518 0.9518
0.04145 0.8990 0.8990
0.04154 0.9044 0.9044
0.04164 0.9055 0.9055
0.04174 0.9056 0.9056
0.04184 0.9055 0.9055
0.04194 0.9092 0.9092
0.04204 0.9074 0.9074
0.04214 0.9097 0.9097
0.04224 0.9110 0.9110
0.04234 0.9139 0.9139
0.04244 0.9140 0.9140
0.04254 0.9217 0.9217
0.04264 0.9248 0.9248
0.04274 0.9271 0.9271
0.04284 0.9284 0.9284
0.04294 0.9313 0.9313
0.04304 0.9308 0.9308
0.04313 0.9319 0.9319
0.04323 0.9344 0.9344
0.04333 0.9355 0.9355
0.04343 0.9362 0.9362
0.04353 0.9392 0.9392
0.04363 0.9379 0.9379
0.04373 0.9422 0.9422
0.04383 0.9409 0.9409
0.04393 0.9416 0.9416
0.04403 0.9427 0.9427
0.04413 0.9440 0.9440
0.04423 0.9451 0.9451
0.04433 0.9482 0.9482
0.04443 0.9463 0.9463
0.04453 0.9494 0.9494
0.04463 0.9511 0.9511
0.04472 0.9524 0.9524
0.04482 0.9541 0.9541
0.04492 0.9554 0.9554
0.04502 0.9584 0.9584
0.04512 0.9505 0.9505
0.04522 0.9188 0.9188
0.04532 0.9277 0.9277
0.04542 0.9284 0.9284
0.04552 0.9349 0.9349
0.04562 0.9398 0.9398
0.04572 0.9061 0.9061
0.04582 0.9170 0.9170
0.04592 0.9223 0.9223
0.04602 0.9266 0.9266
0.04612 0.9325 0.9325
0.04622 0.9332 0.9332
0.04632 0.9361 0.9361
0.04641 0.9374 0.9374
0.04651 0.9380 0.9380
0.04661 0.9403 0.9403
0.04671 0.9434 0.9434
0.04681 0.9079 0.9079
0.04691 0.9050 0.9050
0.04701 0.9055 0.9055
0.04711 0.9110 0.9110
0.04721 0.9145 0.9145
0.04731 0.9188 0.9188
0.04741 0.9205 0.9205
0.04751 0.9218 0.9218
0.04761 0.9229 0.9229
0.04771 0.9236 0.9236
0.04781 0.9241 0.9241
0.04791 0.9230 0.9230
0.04800 0.9253 0.9253
0.04810 0.9260 0.9260
0.04820 0.9260 0.9260
0.04830 0.9289 0.9289
0.04840 0.9308 0.9308
0.04850 0.9229 0.9229
0.04860 0.8600 0.8600
0.04870 0.9325 0.9325
0.04880 0.8792 0.8792
0.04890 0.8816 0.8816
0.04900 0.8828 0.8828
0.04910 0.8834 0.8834
0.04920 0.8846 0.8846
0.04930 0.8864 0.8864
0.04940 0.8810 0.8810
0.04950 0.8834 0.8834
0.04959 0.8834 0.8834
0.04969 0.9410 0.9410
0.04979 0.8384 0.8384
0.04989 0.9278 0.9278
0.04999 0.9301 0.9301
0.05009 0.9464 0.9464
0.05019 0.9439 0.9439
0.05029 0.9494 0.9494
0.05039 0.9541 0.9541
0.05049 0.9500 0.9500
0.05059 0.9523 0.9523
0.05069 0.9440 0.9440
0.05079 0.9595 0.9595
0.05089 0.9410 0.9410
0.05099 0.9445 0.9445
0.05109 0.9374 0.9374
0.05119 0.9428 0.9428
0.05128 0.9499 0.9499
0.05138 0.9398 0.9398
0.05148 0.9085 0.9085
0.05158 0.9200 0.9200
0.05168 0.9295 0.9295
0.05178 0.9320 0.9320
0.05188 0.9295 0.9295
0.05198 0.9272 0.9272
0.05208 0.9115 0.9115
0.05218 0.9128 0.9128
0.05228 0.9151 0.9151
0.05238 0.9176 0.9176
0.05248 0.9193 0.9193
0.05258 0.9188 0.9188
0.05268 0.9218 0.9218
0.05278 0.9223 0.9223
0.05287 0.9230 0.9230
0.05297 0.9223 0.9223
0.05307 0.9248 0.9248
0.05317 0.9253 0.9253
0.05327 0.9260 0.9260
0.05337 0.9265 0.9265
0.05347 0.9278 0.9278
0.05357 0.9283 0.9283
0.05367 0.9296 0.9296
0.05377 0.9307 0.9307
0.05387 0.9314 0.9314
0.05397 0.9325 0.9325
0.05407 0.9332 0.9332
0.05417 0.9338 0.9338
0.05427 0.9361 0.9361
0.05437 0.9380 0.9380
0.05447 0.9367 0.9367
0.05456 0.9386 0.9386
0.05466 0.9385 0.9385
0.05476 0.9392 0.9392
0.05486 0.9403 0.9403
0.05496 0.9404 0.9404
0.05506 0.9433 0.9433
0.05516 0.9422 0.9422
0.05526 0.9439 0.9439
0.05536 0.9452 0.9452
0.05546 0.9445 0.9445
0.05556 0.9464 0.9464
0.05566 0.9458 0.9458
0.05576 0.9475 0.9475
0.05586 0.9476 0.9476
0.05596 0.9511 0.9511
0.05606 0.9524 0.9524
0.05615 0.9511 0.9511
0.05625 0.9554 0.9554
0.05635 0.9565 0.9565
0.05645 0.9608 0.9608
0.05655 0.8804 0.8804
0.05665 0.8954 0.8954
0.05675 0.9073 0.9073
0.05685 0.9122 0.9122
0.05695 0.9145 0.9145
0.05705 0.9200 0.9200
0.05715 0.9278 0.9278
0.05725 0.9403 0.9403
0.05735 0.9134 0.9134
0.05745 0.9133 0.9133
0.05755 0.9206 0.9206
0.05765 0.9265 0.9265
0.05774 0.9284 0.9284
0.05784 0.9307 0.9307
0.05794 0.9344 0.9344
0.05804 0.9343 0.9343
0.05814 0.9458 0.9458
0.05824 0.8972 0.8972
0.05834 0.7245 0.7245
0.05844 0.7346 0.7346
0.05854 0.9080 0.9080
