"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.07514 0.9068 0.8966
0.07524 0.9049 0.8978
0.07534 0.9121 0.8978
0.07544 0.9091 0.8966
0.07554 0.9026 0.8978
0.07563 0.9067 0.8978
0.07573 0.9061 0.8972
0.07583 0.9055 0.8984
0.07593 0.9050 0.8972
0.07603 0.9049 0.8984
0.07613 0.9097 0.8978
0.07623 0.9067 0.8984
0.07633 0.9092 0.8978
0.07643 0.9085 0.8978
0.07653 0.8972 0.8990
0.07663 0.9074 0.8978
0.07673 0.9121 0.8996
0.07683 0.9211 0.9103
0.07693 0.9475 0.9511
0.07703 0.9488 0.9494
0.07713 0.9469 0.9505
0.07723 0.9385 0.9367
0.07732 0.9475 0.9529
0.07742 0.9494 0.9536
0.07752 0.9541 0.9577
0.07762 0.9703 0.9703
0.07772 0.9505 0.9505
0.07782 0.9740 0.9770
0.07792 0.9787 0.9811
0.07802 0.9829 0.9841
0.07812 0.9638 0.9632
0.07822 0.9067 0.8990
0.07832 0.9013 0.8990
0.07842 0.9073 0.8984
0.07852 0.9068 0.8996
0.07862 0.9049 0.8984
0.07872 0.9055 0.8996
0.07882 0.9049 0.9001
0.07891 0.9098 0.8990
0.07901 0.9055 0.8996
0.07911 0.9085 0.8996
0.07921 0.9049 0.9001
0.07931 0.9062 0.9002
0.07941 0.9055 0.9007
0.07951 0.9049 0.8990
0.07961 0.9050 0.9002
0.07971 0.9055 0.9007
0.07981 0.9061 0.9001
0.07991 0.9073 0.9013
0.08001 0.9056 0.9014
0.08011 0.9073 0.9007
0.08021 0.9127 0.9007
0.08031 0.9103 0.9013
0.08041 0.9008 0.9020
0.08050 0.9025 0.9013
0.08060 0.9127 0.9019
0.08070 0.9097 0.9019
0.08080 0.9098 0.9020
0.08090 0.9013 0.9019
0.08100 0.8978 0.9025
0.08110 0.9116 0.9026
0.08120 0.9115 0.9019
0.08130 0.9181 0.9037
0.08140 0.9103 0.9031
0.08150 0.9128 0.9026
0.08160 0.9085 0.9043
0.08170 0.9085 0.9043
0.08180 0.9019 0.9031
0.08190 0.9092 0.9044
0.08200 0.9073 0.9043
0.08210 0.8972 0.9049
0.08219 0.9097 0.9055
0.08229 0.9104 0.9050
0.08239 0.9103 0.9061
0.08249 0.9121 0.9073
0.08259 0.9110 0.9056
