"DataSource","Name","BasinName","ClassName","Mosaic","MosaicDateStart","MosaicDateEnd","ObservedArea","ObservedAreaWater","PercentObserved","PercentWater","EstimatedAreaWater","Threshold"
"Ducks Unlimited","Delta Semi-permanent Wetland","Delta","Semi-permanent Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",2595600,2056500,27.6669224865695,79.2302357836338,7433063.80027739,0.07897201
"Ducks Unlimited","Delta Treated Wetland","Delta","Treated Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",1973700,1422900,77.1368272951108,72.0930232558139,1844644.18604651,0.07897201
"Ducks Unlimited","San Joaquin Seasonal Wetland","San Joaquin","Seasonal Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",222447600,32468850,100,14.5961790552022,32468850,0.07897201
"Ducks Unlimited","San Joaquin Semi-permanent Wetland","San Joaquin","Semi-permanent Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",10140300,6514650,100,64.2451406763114,6514650,0.07897201
"Ducks Unlimited","San Joaquin Treated Wetland","San Joaquin","Treated Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",7209900,6652800,100,92.2731244538759,6652800,0.07897201
"Ducks Unlimited","Suisun Seasonal Wetland","Suisun","Seasonal Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Suisun Semi-permanent Wetland","Suisun","Semi-permanent Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Sutter Rice","Sutter","Rice","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Sutter Seasonal Wetland","Sutter","Seasonal Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Sutter Semi-permanent Wetland","Sutter","Semi-permanent Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Tulare Seasonal Wetland","Tulare","Seasonal Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",58104900,6092100,100,10.4846579204163,6092100,0.07897201
"Ducks Unlimited","Tulare Semi-permanent Wetland","Tulare","Semi-permanent Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",18285300,15102000,100,82.5909337008417,15102000,0.07897201
"Ducks Unlimited","Tulare Treated Wetland","Tulare","Treated Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",6919200,3481200,100,50.312174817898,3481200,0.07897201
"Ducks Unlimited","Yolo Rice","Yolo","Rice","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Yolo Seasonal Wetland","Yolo","Seasonal Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Yolo Semi-permanent Wetland","Yolo","Semi-permanent Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
