"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.04244 0.9476 0.9476
0.04254 0.9583 0.9583
0.04264 0.9512 0.9512
0.04274 0.9673 0.9673
0.04284 0.9554 0.9554
0.04294 0.9619 0.9619
0.04304 0.9650 0.9650
0.04313 0.9703 0.9703
0.04323 0.9554 0.9554
0.04333 0.9397 0.9397
0.04343 0.9422 0.9422
0.04353 0.9452 0.9452
0.04363 0.9475 0.9475
0.04373 0.9446 0.9446
0.04383 0.8762 0.8762
0.04393 0.9344 0.9344
0.04403 0.9757 0.9757
0.04413 0.9596 0.9596
0.04423 0.9013 0.9013
0.04433 0.9068 0.9068
0.04443 0.9097 0.9097
0.04453 0.9146 0.9146
0.04463 0.9175 0.9175
0.04472 0.9194 0.9194
0.04482 0.9193 0.9193
0.04492 0.9284 0.9284
0.04502 0.9326 0.9326
0.04512 0.9361 0.9361
0.04522 0.9416 0.9416
0.04532 0.9427 0.9427
0.04542 0.9440 0.9440
0.04552 0.9463 0.9463
0.04562 0.9476 0.9476
0.04572 0.9481 0.9481
0.04582 0.9506 0.9506
0.04592 0.9523 0.9523
0.04602 0.9542 0.9542
0.04612 0.9553 0.9553
0.04622 0.9566 0.9566
0.04632 0.9601 0.9601
0.04641 0.9596 0.9596
0.04651 0.9620 0.9620
0.04661 0.9619 0.9619
0.04671 0.9632 0.9632
0.04681 0.9655 0.9655
0.04691 0.9680 0.9680
0.04701 0.9667 0.9667
0.04711 0.9716 0.9716
0.04721 0.9739 0.9739
0.04731 0.9751 0.9751
0.04741 0.9763 0.9763
0.04751 0.9775 0.9775
0.04761 0.9775 0.9775
0.04771 0.9799 0.9799
0.04781 0.9841 0.9841
0.04791 0.9895 0.9895
0.04800 0.9679 0.9679
0.04810 0.9074 0.9074
0.04820 0.9140 0.9140
0.04830 0.9229 0.9229
0.04840 0.9242 0.9242
0.04850 0.9271 0.9271
0.04860 0.9278 0.9278
0.04870 0.9307 0.9307
0.04880 0.9368 0.9368
0.04890 0.9475 0.9475
0.04900 0.9578 0.9578
0.04910 0.9685 0.9685
0.04920 0.7509 0.7509
0.04930 0.6723 0.6723
0.04940 0.6765 0.6765
0.04950 0.6789 0.6789
0.04959 0.6807 0.6807
0.04969 0.6831 0.6831
0.04979 0.6873 0.6873
0.04989 0.6957 0.6957
0.04999 0.7028 0.7028
0.05009 0.7221 0.7221
0.05019 0.7682 0.7682
0.05029 0.8150 0.8150
0.05039 0.8462 0.8462
0.05049 0.9056 0.9056
0.05059 0.9553 0.9553
0.05069 0.9620 0.9620
