"rank" "feature_density_pos" "weighted_feature_density_pos" "feature_density_zero" 
0.05208 0.8312 0.8312 0.9727
0.05218 0.8636 0.8636 1.0759
0.05228 0.8744 0.8744 1.0651
0.05238 0.8828 0.8828 1.0657
0.05248 0.7448 0.7448 1.0627
0.05258 0.7916 0.7916 1.1809
0.05268 0.8918 0.8918 1.1191
0.05278 0.7358 0.7358 1.2672
0.05287 0.6867 0.6867 1.3230
0.05297 0.7058 0.7058 1.3427
0.05307 0.7317 0.7317 1.2162
0.05317 0.7454 0.7454 1.2324
0.05327 0.7527 0.7527 1.1395
0.05337 0.7568 0.7568 1.1454
0.05347 0.7604 0.7604 1.0759
0.05357 0.7628 0.7628 1.0891
0.05367 0.7646 0.7646 1.1389
0.05377 0.7682 0.7682 1.0993
0.05387 0.7718 0.7718 1.1569
0.05397 0.7754 0.7754 1.2318
0.05407 0.7772 0.7772 0.9895
0.05417 0.7814 0.7814 1.0879
0.05427 0.7826 0.7826 1.0549
0.05437 0.7868 0.7868 1.0399
0.05447 0.7886 0.7886 1.0627
0.05456 0.7886 0.7886 1.0435
0.05466 0.7904 0.7904 1.0237
0.05476 0.7928 0.7928 1.0321
0.05486 0.7928 0.7928 0.9799
0.05496 0.7958 0.7958 1.0849
0.05506 0.7970 0.7970 1.1028
0.05516 0.7988 0.7988 1.0753
0.05526 0.7988 0.7988 1.0327
0.05536 0.8012 0.8012 1.0939
0.05546 0.8000 0.8000 1.1046
0.05556 0.8024 0.8024 1.0999
0.05566 0.8030 0.8030 1.0981
0.05576 0.8042 0.8042 1.1130
0.05586 0.8048 0.8048 1.0975
0.05596 0.8072 0.8072 1.0351
0.05606 0.8108 0.8108 1.0777
0.05615 0.8198 0.8198 1.2702
0.05625 0.8324 0.8324 1.2126
0.05635 0.8378 0.8378 1.0825
0.05645 0.8456 0.8456 1.0693
0.05655 0.8618 0.8618 1.0705
0.05665 0.8468 0.8468 1.0309
0.05675 0.7430 0.7430 0.8534
0.05685 0.7802 0.7802 0.8540
0.05695 0.8186 0.8186 0.9067
0.05705 0.7622 0.7622 0.9176
0.05715 0.7287 0.7287 0.8606
0.05725 0.7328 0.7328 0.8636
0.05735 0.7377 0.7377 0.8654
0.05745 0.7442 0.7442 0.8528
0.05755 0.7509 0.7509 0.8612
0.05765 0.7610 0.7610 0.8534
0.05774 0.7910 0.7910 0.8570
0.05784 0.8030 0.8030 0.8384
0.05794 0.8444 0.8444 0.9805
0.05804 0.7820 0.7820 0.9733
0.05814 0.7688 0.7688 1.1976
0.05824 0.7784 0.7784 1.2294
0.05834 0.8114 0.8114 1.2000
0.05844 0.8228 0.8228 1.0453
0.05854 0.7359 0.7359 0.8606
